8.8	0	0.34
9.4	1.73	1.46
9.7	21.3	6.08
10	34.25	7.79
10.3	46.86	10.25
10.6	44.83	9.94
10.9	60.79	13.18
11.2	67.62	13.66
11.6	76.86	15.88
11.9	84.45	17.44
12.2	104.6	21.35
12.5	127.9	25.85
12.8	144	28.98
13.1	167.9	33.6
13.4	200.5	39.93
13.7	230.7	45.83
14	259.3	51.26
14.3	298.7	58.55
14.7	324.3	61.54
15	346.3	68.82
15.3	341.6	62.59
15.6	330.8	64.69
15.9	303	59.93
16.2	276.7	55.19
16.5	251.2	54.44
16.8	220.3	45.26
17.1	194.8	41.45
17.4	176	38.46
17.8	161.9	36.34
18.1	146.1	34.32
18.4	122.8	30.55
18.7	103.9	26.98
19	99.64	27.06
19.3	100.8	27.74
19.6	78.42	22.73
19.9	90.15	25.35
20.2	79.44	22.91
20.5	73.6	22.75
20.9	56.42	18.83
21.2	55.47	18.83
21.5	56.42	19.34
21.8	57.14	19.78
22.1	51.2	18.57
22.4	51.26	18.83
22.7	43.4	17.06
23	48.29	18.45
23.3	40.3	16.72
23.6	35.62	15.68
23.9	45.45	18.29
24.3	41.91	17.62
24.6	30.04	15.69
24.9	24.29	14.28
25.2	33.42	19.61
25.5	40.43	21.16
25.8	44.02	23.58
26.1	32.07	19.79
26.4	35.5	20.18
26.7	31.88	20.04
27.1	32.31	19.38
27.4	38.52	23.04
27.7	32.18	19.93
28	36.5	23.58
28.3	21.08	17.45
28.6	16.95	16.9
28.9	18.91	16.84
29.2	11.42	15.63
29.5	14.75	18.07
29.8	29.94	25.01
