7	4.7
7.1	4.3
7.2	3.99
7.3	7.44
7.4	10.97
7.5	14.1
7.6	15.67
7.7	18.8
7.8	19.75
7.9	22.72
8	23.5
8.1	22.09
8.2	19.69
8.3	18.17
8.4	15.03
8.5	11.28
8.6	7.82
8.7	8.68
8.8	4.31
8.9	2.68
9	1.91
9.1	4.31
9.2	8.27
9.3	12.53
9.4	15.67
9.5	16.41	2.69
9.6	19.58	4.29
9.7	22.87	2.98
9.8	23.48	2.36
9.9	30.88	3.15
10	27.59	2.54
10.1	27.67	2.36
10.2	30.74	3.12
10.3	31.37	2.26
10.4	34.77	3.97
10.5	35.57	4
10.6	37.25	3.41
10.7	38.72	3.91
10.8	39.19	3.97
10.9	47.49	5.46
11	54.82	5.87
11.1	59.3	5.52
11.2	63.29	7.01
11.3	68.95	6.84
11.4	66.46	6.9
11.5	70.36	7
11.6	87.02	4
11.7	88.75	4.07
11.8	89.58	3.5
11.9	88.73	3.87
12	87.83	7.25
12.1	97.49	5.05
12.2	102.84	6.39
12.3	109.13	7.89
12.4	110.76	8.57
12.5	126.59	9
12.6	129.23	6.27
12.7	133.18	7.38
12.8	137.51	7.79
12.9	141	9.4
13	147.25	9.55
13.1	167.94	7.72
13.2	163.89	10.43
13.3	182.69	8.68
13.4	192.08	9
13.5	211.14	10.59
13.6	215.16	9.53
13.7	219.36	9.47
13.8	223.36	11.73
13.9	229.43	9.8
14	237.39	7.43
14.1	235.22	9.74
14.2	250.61	11.45
14.3	254.94	11.27
14.4	242.77	12.51
14.5	241.27	15.68
14.6	239.12	14.18
14.7	242.25	14.44
14.8	245.23	13
14.9	252.42	15.62
15	258.48	15.57
15.1	274.19	15.25
15.2	275.18	14.67
15.3	263.38	16.05
15.4	261.09	15
15.5	257.93	14.14
15.6	281.98	15.14
15.7	278.46	15.57
15.8	278.06	12.69
15.9	275.09	18.8
16	254.74	15.62
16.1	233.36	16.63
16.2	234.41	16.08
16.3	253.94	16.18
16.4	262.64	19.35
16.5	268.93	19.58
16.6	258.48	23.48
16.7	269.73	19.62
16.8	266.29	19.51
16.9	254.57	19.01
17	253.14	17.31
17.1	234.98	13.36
17.2	214.62	15.43
17.3	224.93	15.69
17.4	211.56	14.87
17.5	208.79	15
17.6	195.84	16.62
17.7	164.48	17
17.8	156.66	18
17.9	153.46	17.62
18	156.46	18
18.1	152.78	16.46
18.2	152.76	15.82
18.3	144.97	15.63
18.4	126.51	16.2
18.5	117.49	16.62
18.6	116.7	15
18.7	117.02	19.13
18.8	129.35	17.35
18.9	117.44	18.24
19	101.15	21.85
19.1	83.52	19.52
19.2	79.47	19.61
19.3	82.66	20
19.4	84.35	22.82
19.5	90.46	26.63
19.6	90.16	22
19.7	86.14	21.59
19.8	79.52	23.86
19.9	78.32	23.54
20	78.57	23.5
20.1	71.71	22
20.2	65.65	25.36
20.3	52.4	19.48
20.4	54.83	17.37
20.5	54.56	20.38
20.6	47	23.49
20.7	46.59	18.8
20.8	46.19	17.25
20.9	47	21.91
21	50.03	17.29
21.1	66.55	18.89
21.2	78.26	19.56
21.3	81	14.86
21.4	80	18
21.5	62.66	21.9
21.6	58.51	23.43
21.7	55.42	23.33
21.8	62.68	22
21.9	70.49	21.94
22	62.59	26.94
22.1	39.14	23.61
22.2	39.17	27.29
22.3	43.07	23.68
22.4	47.04	21.8
22.5	54.77	26
22.6	63.23	24.21
22.7	55.36	23.45
22.8	45.46	29.63
22.9	46.21	26.85
23	47	21.41
23.1	48.18	21
23.2	62.66	22.66
23.3	54.84	23.41
23.4	39.17	27.36
23.5	31.38	22.62
23.6	30	23.36
23.7	30.33	25
23.8	35.23	22.81
23.9	38.37	27.27
24	47	26.82
24.1	43.54	23.68
24.2	45.49	24.57
24.3	54.79	27.27
24.4	66.42	28.16
24.5	70.47	30.32
24.6	72.46	27.39
24.7	73.24	26.61
24.8	74.8	31.24
24.9	76.76	27.38
25	77.56	28.36
25.1	72.06	27.34
25.2	47.17	23.44
25.3	22.08	26.53
25.4	18.89	27.27
25.5	22.85	27.35
25.6	15.35	23.43
25.7	15.69	24.28
25.8	16.05	28.94
25.9	16.6	28.16
26	17.19	23.39
26.1	22.71	23.44
26.2	27.45	25
26.3	39.18	23.62
26.4	59.47	23.6
26.5	70.46	25.72
26.6	74.41	24.6
26.7	81.76	27.49
26.8	91.34	27.23
26.9	91.62	27.58
27	93.23	25.4
27.1	97.92	23.48
27.2	98.38	23.5
